tensor(0.9659),tensor(0.9643),tensor(0.9674),tensor(0.9673),tensor(0.9317),tensor(0.0326),0.9878168034326804
tensor(0.9670),tensor(0.9630),tensor(0.9710),tensor(0.9708),tensor(0.9340),tensor(0.0290),0.9879309991216788
tensor(0.9650),tensor(0.9665),tensor(0.9634),tensor(0.9635),tensor(0.9299),tensor(0.0366),0.9871622938777771
tensor(0.9639),tensor(0.9589),tensor(0.9688),tensor(0.9685),tensor(0.9278),tensor(0.0312),0.9877448213200861
tensor(0.9663),tensor(0.9647),tensor(0.9679),tensor(0.9678),tensor(0.9326),tensor(0.0321),0.988394850660513
tensor(0.9676),tensor(0.9589),tensor(0.9763),tensor(0.9759),tensor(0.9354),tensor(0.0237),0.9880700848911037
tensor(0.9605),tensor(0.9549),tensor(0.9661),tensor(0.9657),tensor(0.9211),tensor(0.0339),0.9859579126660841
tensor(0.9679),tensor(0.9661),tensor(0.9697),tensor(0.9695),tensor(0.9357),tensor(0.0303),0.9889583620813762
tensor(0.9652),tensor(0.9598),tensor(0.9705),tensor(0.9702),tensor(0.9304),tensor(0.0295),0.9874277216954486
tensor(0.9639),tensor(0.9661),tensor(0.9616),tensor(0.9618),tensor(0.9277),tensor(0.0384),0.9870110617491036
