,,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,ACC,Sen,Spe,Pre,MCC,FPR,AUC
one hot+stack+side.csv,mean,0.80771,0.66206,0.95339,0.93352,0.64565,0.04661,0.924636643,,one hot+stack+side.csv,mean,80.77,66.21,95.34,93.35,0.6457,4.66,92.46
one hot+stack+side.csv,std,0.0608168,0.1218975,0.0170346,0.0242136,0.104745,0.0170346,0.0248063,,one hot+stack+side.csv,std,6.08,12.19,1.7,2.42,0.1047,1.7,2.48
one hot+stack+withoutside.csv,mean,0.57359,0.1599,0.98727,0.9336,0.25537,0.01273,0.764107197,,one hot+stack+withoutside.csv,mean,57.36,15.99,98.73,93.36,0.2554,1.27,76.41
one hot+stack+withoutside.csv,std,0.03403,0.0651151,0.0181736,0.0951612,0.0920698,0.0181736,0.0766162,,one hot+stack+withoutside.csv,std,3.4,6.51,1.82,9.52,0.0921,1.82,7.66
one hot+sum+side.csv,mean,0.76734,0.57452,0.96016,0.93378,0.5809,0.03984,0.895836546,,one hot+sum+side.csv,mean,76.73,57.45,96.02,93.38,0.5809,3.98,89.58
one hot+sum+side.csv,std,0.0753378,0.1551652,0.0185709,0.0308145,0.123637,0.0185709,0.0445562,,one hot+sum+side.csv,std,7.53,15.52,1.86,3.08,0.1236,1.86,4.46
one hot+sum+withoutside.csv,mean,0.56693,0.16477,0.96911,0.86721,0.22351,0.03089,0.755420054,,one hot+sum+withoutside.csv,mean,56.69,16.48,96.91,86.72,0.2235,3.09,75.54
one hot+sum+withoutside.csv,std,0.0457477,0.0952089,0.0347632,0.1260113,0.1026509,0.0347632,0.0886235,,one hot+sum+withoutside.csv,std,4.57,9.52,3.48,12.6,0.1027,3.48,8.86
random+stack+side.csv,mean,0.94334,0.92059,0.96613,0.96453,0.88766,0.03387,0.964318711,,random+stack+side.csv,mean,94.33,92.06,96.61,96.45,0.8877,3.39,96.43
random+stack+side.csv,std,0.0056695,0.0052556,0.0070261,0.0072635,0.0114266,0.0070261,0.0036296,,random+stack+side.csv,std,0.57,0.53,0.7,0.73,0.0114,0.7,0.36
random+stack+withoutside.csv,mean,0.94092,0.92221,0.95961,0.9581,0.8825,0.04039,0.961808447,,random+stack+withoutside.csv,mean,94.09,92.22,95.96,95.81,0.8825,4.04,96.18
random+stack+withoutside.csv,std,0.0046444,0.0068601,0.0068314,0.0067328,0.0093096,0.0068314,0.0053932,,random+stack+withoutside.csv,std,0.46,0.69,0.68,0.67,0.0093,0.68,0.54
random+sum+side.csv,mean,0.94038,0.91843,0.96234,0.96065,0.88163,0.03766,0.962730518,,random+sum+side.csv,mean,94.04,91.84,96.23,96.07,0.8816,3.77,96.27
random+sum+side.csv,std,0.0034944,0.0048383,0.0057991,0.0057657,0.0070564,0.0057991,0.0047942,,random+sum+side.csv,std,0.35,0.48,0.58,0.58,0.0071,0.58,0.48
random+sum+withoutside.csv,mean,0.94132,0.92032,0.96234,0.9608,0.88349,0.03766,0.959101725,,random+sum+withoutside.csv,mean,94.13,92.03,96.23,96.08,0.8835,3.77,95.91
random+sum+withoutside.csv,std,0.0068114,0.0046243,0.0115944,0.0116078,0.0138581,0.0115944,0.0045981,,random+sum+withoutside.csv,std,0.68,0.46,1.16,1.16,0.0139,1.16,0.46
,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,,,,,,,,
one hot+stack+side.csv,80.77¡À6.08,66.21¡À12.19,95.34¡À1.7,93.35¡À2.42,0.6457¡À0.1047,4.66¡À1.7,92.46¡À2.48,,,,,,,,,,,
one hot+stack+withoutside.csv,57.36¡À3.4,15.99¡À6.51,98.73¡À1.82,93.36¡À9.52,0.2554¡À0.0921,1.27¡À1.82,76.41¡À7.66,,,,,,,,,,,
one hot+sum+side.csv,76.73¡À7.53,57.45¡À15.52,96.02¡À1.86,93.38¡À3.08,0.5809¡À0.1236,3.98¡À1.86,89.58¡À4.46,,,,,,,,,,,
one hot+sum+withoutside.csv,56.69¡À4.57,16.48¡À9.52,96.91¡À3.48,86.72¡À12.6,0.2235¡À0.1027,3.09¡À3.48,75.54¡À8.86,,,,,,,,,,,
random+stack+side.csv,94.33¡À0.57,92.06¡À0.53,96.61¡À0.7,96.45¡À0.73,0.8877¡À0.0114,3.39¡À0.7,96.43¡À0.36,,,,,,,,,,,
random+stack+withoutside.csv,94.09¡À0.46,92.22¡À0.69,95.96¡À0.68,95.81¡À0.67,0.8825¡À0.0093,4.04¡À0.68,96.18¡À0.54,,,,,,,,,,,
random+sum+side.csv,94.04¡À0.35,91.84¡À0.48,96.23¡À0.58,96.07¡À0.58,0.8816¡À0.0071,3.77¡À0.58,96.27¡À0.48,,,,,,,,,,,
random+sum+withoutside.csv,94.13¡À0.68,92.03¡À0.46,96.23¡À1.16,96.08¡À1.16,0.8835¡À0.0139,3.77¡À1.16,95.91¡À0.46,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,ACC,Pre,Sen,AUC,,,,,,,,,,,,,,
one hot+stack+side.csv,80.77¡À6.08,93.35¡À2.42,66.21¡À12.19,92.46¡À2.48,,,,,,,,,,,,,,
one hot+stack+withoutside.csv,57.36¡À3.4,93.36¡À9.52,15.99¡À6.51,76.41¡À7.66,,,,,,,,,,,,,,
one hot+sum+side.csv,76.73¡À7.53,93.38¡À3.08,57.45¡À15.52,89.58¡À4.46,,,,,,,,,,,,,,
one hot+sum+withoutside.csv,56.69¡À4.57,86.72¡À12.6,16.48¡À9.52,75.54¡À8.86,,,,,,,,,,,,,,
random+stack+side.csv,94.33¡À0.57,96.45¡À0.73,92.06¡À0.53,96.43¡À0.36,,,,,,,,,,,,,,
random+stack+withoutside.csv,94.09¡À0.46,95.81¡À0.67,92.22¡À0.69,96.18¡À0.54,,,,,,,,,,,,,,
random+sum+side.csv,94.04¡À0.35,96.07¡À0.58,91.84¡À0.48,96.27¡À0.48,,,,,,,,,,,,,,
random+sum+withoutside.csv,94.13¡À0.68,96.08¡À1.16,92.03¡À0.46,95.91¡À0.46,,,,,,,,,,,,,,
