NPInter_10412,,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,,
1 layers,mean,0.97923,0.9746,0.98387,0.98375,0.95855,0.01613,0.997436012,,,,,
1 layers,std,0.0023319,0.0042965,0.003342,0.0032841,0.0046452,0.003342,0.0003585,,,,,
2 layers,mean,0.98184,0.97565,0.98806,0.9879,0.96378,0.01194,0.997896256,,,,,
2 layers,std,0.0026705,0.0045014,0.0035728,0.0035606,0.0053439,0.0035728,0.0003468,,,,,
3 layers,mean,0.98058,0.97487,0.98627,0.98616,0.96125,0.01373,0.997733121,,,,,
3 layers,std,0.0019292,0.0048369,0.0048116,0.0047666,0.0038739,0.0048116,0.0004325,,,,,
4 layers,mean,0.98064,0.97513,0.98609,0.98601,0.96137,0.01391,0.997735326,,,,,
4 layers,std,0.0024368,0.0053415,0.0071095,0.0069698,0.0048929,0.0071095,0.0003489,,,,,
RPI369,,,,,,,,,,,,,
1 layers,mean,0.9424,0.92032,0.96451,0.96298,0.88575,0.03549,0.964288967,,,,,
1 layers,std,0.0055321,0.0052786,0.0107916,0.0107569,0.0113749,0.0107916,0.0035113,,,,,
2 layers,mean,0.94417,0.92222,0.96614,0.9646,0.88924,0.03386,0.962939829,,,,,
2 layers,std,0.0033119,0.0058638,0.0044717,0.0044907,0.0065578,0.0044717,0.0039413,,,,,
3 layers,mean,0.94242,0.91924,0.96559,0.96402,0.88585,0.03441,0.96137477,,,,,
3 layers,std,0.0039083,0.0075084,0.008674,0.0085092,0.0078586,0.008674,0.0030399,,,,,
4 layers,mean,0.9397,0.91492,0.9645,0.96269,0.88052,0.0355,0.961923752,,,,,
4 layers,std,0.004092,0.0061306,0.0061962,0.0062504,0.0082301,0.0061962,0.0026591,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NPInter 10412,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,,,
1 layers,97.92,97.46,98.39,98.37,95.86,1.61,99.74,,,,,,
1 layers,0.23,0.43,0.33,0.33,0.46,0.33,0.04,,,,,,
2 layers,98.18,97.57,98.81,98.79,96.38,1.19,99.79,,,,,,
2 layers,0.27,0.45,0.36,0.36,0.53,0.36,0.03,,,,,,
3 layers,98.06,97.49,98.63,98.62,96.12,1.37,99.77,,,,,,
3 layers,0.19,0.48,0.48,0.48,0.39,0.48,0.04,,,,,,
4 layers,98.06,97.51,98.61,98.6,96.14,1.39,99.77,,,,,,
4 layers,0.24,0.53,0.71,0.7,0.49,0.71,0.03,,,,,,
,,,,,,,,,,,,,
NPInter 10412,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,NPInter 10412,ACC,Pre,Sen,AUC
1 layers,97.92¡À0.23,97.46¡À0.43,98.39¡À0.33,98.37¡À0.33,95.86¡À0.46,1.61¡À0.33,99.74¡À0.04,,1 layers,97.92¡À0.23,98.37¡À0.33,97.46¡À0.43,99.74¡À0.04
2 layers,98.18¡À0.27,97.57¡À0.45,98.81¡À0.36,98.79¡À0.36,96.38¡À0.53,1.19¡À0.36,99.79¡À0.03,,2 layers,98.18¡À0.27,98.79¡À0.36,97.57¡À0.45,99.79¡À0.03
3 layers,98.06¡À0.19,97.49¡À0.48,98.63¡À0.48,98.62¡À0.48,96.12¡À0.39,1.37¡À0.48,99.77¡À0.04,,3 layers,98.06¡À0.19,98.62¡À0.48,97.49¡À0.48,99.77¡À0.04
4 layers,98.06¡À0.24,97.51¡À0.53,98.61¡À0.71,98.6¡À0.7,96.14¡À0.49,1.39¡À0.71,99.77¡À0.03,,4 layers,98.06¡À0.24,98.6¡À0.7,97.51¡À0.53,99.77¡À0.03
,,,,,,,,,,,,,
RPI369,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,,,
1 layers,94.24,92.03,96.45,96.3,88.58,3.55,96.43,,,,,,
1 layers,0.55,0.53,1.08,1.08,1.14,1.08,0.35,,,,,,
2 layers,94.42,92.22,96.61,96.46,88.92,3.39,96.29,,,,,,
2 layers,0.33,0.59,0.45,0.45,0.66,0.45,0.39,,,,,,
3 layers,94.24,91.92,96.56,96.4,88.59,3.44,96.14,,,,,,
3 layers,0.39,0.75,0.87,0.85,0.79,0.87,0.3,,,,,,
4 layers,93.97,91.49,96.45,96.27,88.05,3.55,96.19,,,,,,
4 layers,0.41,0.61,0.62,0.63,0.82,0.62,0.27,,,,,,
,,,,,,,,,,,,,
RPI369,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,RPI369,ACC,Pre,Sen,AUC
1 layers,94.24¡À0.55,92.03¡À0.53,96.45¡À1.08,96.3¡À1.08,88.58¡À1.14,3.55¡À1.08,96.43¡À0.35,,1 layers,94.24¡À0.55,96.3¡À1.08,92.03¡À0.53,96.43¡À0.35
2 layers,94.42¡À0.33,92.22¡À0.59,96.61¡À0.45,96.46¡À0.45,88.92¡À0.66,3.39¡À0.45,96.29¡À0.39,,2 layers,94.42¡À0.33,96.46¡À0.45,92.22¡À0.59,96.29¡À0.39
3 layers,94.24¡À0.39,91.92¡À0.75,96.56¡À0.87,96.4¡À0.85,88.59¡À0.79,3.44¡À0.87,96.14¡À0.3,,3 layers,94.24¡À0.39,96.4¡À0.85,91.92¡À0.75,96.14¡À0.3
4 layers,93.97¡À0.41,91.49¡À0.61,96.45¡À0.62,96.27¡À0.63,88.05¡À0.82,3.55¡À0.62,96.19¡À0.27,,4 layers,93.97¡À0.41,96.27¡À0.63,91.49¡À0.61,96.19¡À0.27
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NPInter_10412,,Accuracy,Precision,Sensitivity,AUROC,,RPI369,,Accuracy,Precision,Sensitivity,AUROC,
1 layers,mean,0.97923,0.98375,0.9746,0.997436012,,1 layers,mean,0.9424,0.96298,0.92032,0.964288967,
1 layers,std,0.0023319,0.0032841,0.0042965,0.0003585,,1 layers,std,0.0055321,0.0107569,0.0052786,0.0035113,
2 layers,mean,0.98184,0.9879,0.97565,0.997896256,,2 layers,mean,0.94417,0.9646,0.92222,0.962939829,
2 layers,std,0.0026705,0.0035606,0.0045014,0.0003468,,2 layers,std,0.0033119,0.0044907,0.0058638,0.0039413,
3 layers,mean,0.98058,0.98616,0.97487,0.997733121,,3 layers,mean,0.94242,0.96402,0.91924,0.96137477,
3 layers,std,0.0019292,0.0047666,0.0048369,0.0004325,,3 layers,std,0.0039083,0.0085092,0.0075084,0.0030399,
4 layers,mean,0.98064,0.98601,0.97513,0.997735326,,4 layers,mean,0.9397,0.96269,0.91492,0.961923752,
4 layers,std,0.0024368,0.0069698,0.0053415,0.0003489,,4 layers,std,0.004092,0.0062504,0.0061306,0.0026591,
